年齢階級,男：15～19歳,男：20～24歳,男：25～29歳,男：30～34歳,男：35～39歳,男：40～44歳,男：45～49歳,男：50～54歳,男：55～59歳,男：60～64歳,男：65歳以上,女：15～19歳,女：20～24歳,女：25～29歳,女：30～34歳,女：35～39歳,女：40～44歳,女：45～49歳,女：50～54歳,女：55～59歳,女：60～64歳,女：65歳以上
1980,17.4,69.6,96.3,97.6,97.6,97.6,96.5,96,91.2,77.8,41,18.5,70,49.2,48.2,58,64.1,64.4,59.3,50.5,38.8,15.5
1990,18.3,71.7,96.1,97.5,97.8,97.6,97.3,96.3,92.1,72.9,36.5,17.8,75.1,61.4,51.7,62.6,69.6,71.7,65.5,53.9,39.5,16.2
2000,18.4,72.7,95.8,97.7,97.8,97.7,97.3,96.7,94.2,72.6,34.1,16.6,72.7,69.9,57.1,61.4,69.3,71.8,68.2,58.7,39.5,14.4
2010,14.5,67.1,94.2,96.2,96.7,96.8,97,95.8,92.8,76,28.8,15.9,69.4,77.1,67.8,66.2,71.6,75.8,72.8,63.3,45.7,13.3
2020,18,74.6,94.4,95.6,96,95.8,95.6,95.4,93.9,85.3,35.1,20.4,75.4,85.9,77.8,76,79.4,81,80,74.3,61,18.2
